subject_id,subject_category,subject_label,subject_type,predicate_id,predicate_label,object_id,object_category,object_label,object_type,mapping_justification,comment,license,mapping_date,author_id,author_label,reviewer_id,reviewer_label,creator_id,creator_label,term_local_name,compound_name,term_iri
http://rs.tdwg.org/chrono/terms/chronometricAgeUncertaintyInYears,ChronometricAge,Chronometric Age Uncertainty In Years,rdf property,http://www.w3.org/2004/02/skos/core#exactMatch,exactMatch,http://rs.tdwg.org/chrono/terms/chronometricAgeUncertaintyInYears,ChronometricAge,Chronometric Age Uncertainty In Years,rdf property,The same concept applies to the objects within an ltc:ObjectGroup as it does to a single object.,,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,chronometricAgeUncertaintyInYears,ChronometricAge.chronometricAgeUncertaintyInYears,http://rs.tdwg.org/chrono/terms/chronometricAgeUncertaintyInYears
http://rs.tdwg.org/chrono/terms/earliestChronometricAge,ChronometricAge,Earliest Chronometric Age,rdf property,http://www.w3.org/2004/02/skos/core#exactMatch,exactMatch,http://rs.tdwg.org/chrono/terms/earliestChronometricAge,ChronometricAge,Earliest Chronometric Age,rdf property,The same concept applies to the objects within an ltc:ObjectGroup as it does to a single object.,,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,earliestChronometricAge,ChronometricAge.earliestChronometricAge,http://rs.tdwg.org/chrono/terms/earliestChronometricAge
http://rs.tdwg.org/chrono/terms/earliestChronometricAgeReferenceSystem,ChronometricAge,Earliest Chronometric Age Reference System,rdf property,http://www.w3.org/2004/02/skos/core#exactMatch,exactMatch,http://rs.tdwg.org/chrono/terms/earliestChronometricAgeReferenceSystem,ChronometricAge,Earliest Chronometric Age Reference System,rdf property,The same concept applies to the objects within an ltc:ObjectGroup as it does to a single object.,,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,earliestChronometricAgeReferenceSystem,ChronometricAge.earliestChronometricAgeReferenceSystem,http://rs.tdwg.org/chrono/terms/earliestChronometricAgeReferenceSystem
http://rs.tdwg.org/ltc/terms/chronometricAgeProtocol,ChronometricAge,Has Identifier,rdf property,http://www.w3.org/2004/02/skos/core#broadMatch,broadMatch,http://purl.org/dc/terms/relation,DCMI Metadata Terms,Relation,rdf property,LtC applies constraints to the subject and object classes of the relation.,,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,chronometricAgeProtocol,ChronometricAge.chronometricAgeProtocol,http://rs.tdwg.org/ltc/terms/chronometricAgeProtocol
http://rs.tdwg.org/ltc/terms/chronometricAgeRemarks,ChronometricAge,Has Measurement Or Fact,rdf property,http://www.w3.org/2004/02/skos/core#broadMatch,broadMatch,http://purl.org/dc/terms/relation,DCMI Metadata Terms,Relation,rdf property,LtC applies constraints to the subject and object classes of the relation.,,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,chronometricAgeRemarks,ChronometricAge.chronometricAgeRemarks,http://rs.tdwg.org/ltc/terms/chronometricAgeRemarks
http://rs.tdwg.org/ltc/terms/chronometricAgeUncertaintyInYears,ChronometricAge,Has Reference,rdf property,http://www.w3.org/2004/02/skos/core#broadMatch,broadMatch,http://purl.org/dc/terms/relation,DCMI Metadata Terms,Relation,rdf property,LtC applies constraints to the subject and object classes of the relation.,,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,chronometricAgeUncertaintyInYears,ChronometricAge.chronometricAgeUncertaintyInYears,http://rs.tdwg.org/ltc/terms/chronometricAgeUncertaintyInYears
http://rs.tdwg.org/chrono/terms/latestChronometricAge,ChronometricAge,Latest Chronometric Age,rdf property,http://www.w3.org/2004/02/skos/core#exactMatch,exactMatch,http://rs.tdwg.org/chrono/terms/latestChronometricAge,ChronometricAge,Latest Chronometric Age,rdf property,The same concept applies to the objects within an ltc:ObjectGroup as it does to a single object.,,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,latestChronometricAge,ChronometricAge.latestChronometricAge,http://rs.tdwg.org/chrono/terms/latestChronometricAge
http://rs.tdwg.org/chrono/terms/latestChronometricAgeReferenceSystem,ChronometricAge,Latest Chronometric Age Reference System,rdf property,http://www.w3.org/2004/02/skos/core#exactMatch,exactMatch,http://rs.tdwg.org/chrono/terms/latestChronometricAgeReferenceSystem,ChronometricAge,Latest Chronometric Age Reference System,rdf property,The same concept applies to the objects within an ltc:ObjectGroup as it does to a single object.,,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,latestChronometricAgeReferenceSystem,ChronometricAge.latestChronometricAgeReferenceSystem,http://rs.tdwg.org/chrono/terms/latestChronometricAgeReferenceSystem
http://rs.tdwg.org/chrono/terms/verbatimChronometricAge,ChronometricAge,Verbatim Chronometric Age,rdf property,http://www.w3.org/2004/02/skos/core#exactMatch,exactMatch,http://rs.tdwg.org/chrono/terms/verbatimChronometricAge,ChronometricAge,Verbatim Chronometric Age,rdf property,The same concept applies to the objects within an ltc:ObjectGroup as it does to a single object.,,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,verbatimChronometricAge,ChronometricAge.verbatimChronometricAge,http://rs.tdwg.org/chrono/terms/verbatimChronometricAge
http://rs.tdwg.org/ltc/terms/hasIdentifier,CollectionStatusHistory,Has Identifier,rdf property,http://www.w3.org/2004/02/skos/core#broadMatch,broadMatch,http://purl.org/dc/terms/relation,DCMI Metadata Terms,Relation,rdf property,LtC applies constraints to the subject and object classes of the relation.,,https://creativecommons.org/publicdomain/zero/1.0/,22/06/2023,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,,,https://orcid.org/0000-0001-6496-1423,Matt Woodburn,hasIdentifier,CollectionStatusHistory.hasIdentifier,http://rs.tdwg.org/ltc/terms/hasIdentifier
