namespace,class_name,term_local_name,datatype,compound_name
schema:,Person,familyName,string,Person.familyName
abcd:,Person,fullName,string,Person.fullName
schema:,Person,givenName,string,Person.givenName
ltc:,Person,hasAddress,array<ltc:Address>,Person.hasAddress
ltc:,Person,hasContactDetail,array<ltc:ContactDetail>,Person.hasContactDetail
ltc:,Person,hasIdentifier,array<ltc:Identifier>,Person.hasIdentifier
ltc:,Person,hasMeasurementOrFact,array<ltc:MeasurementOrFact>,Person.hasMeasurementOrFact
ltc:,Person,hasReference,array<ltc:Reference>,Person.hasReference
ltc:,PersonRole,hasAddress,array<ltc:Address>,PersonRole.hasAddress
ltc:,PersonRole,hasContactDetail,array<ltc:ContactDetail>,PersonRole.hasContactDetail
ltc:,PersonRole,hasIdentifier,array<ltc:Identifier>,PersonRole.hasIdentifier
ltc:,PersonRole,hasMeasurementOrFact,array<ltc:MeasurementOrFact>,PersonRole.hasMeasurementOrFact
ltc:,PersonRole,hasPerson,array<ltc:Person>,PersonRole.hasPerson
ltc:,PersonRole,hasReference,array<ltc:Reference>,PersonRole.hasReference
ltc:,PersonRole,hasRole,array<ltc:Role>,PersonRole.hasRole
ltc:,PersonRole,hasTemporalCoverage,array<ltc:TemporalCoverage>,PersonRole.hasTemporalCoverage
ltc:,RecordLevel,hasIdentifier,array<ltc:Identifier>,RecordLevel.hasIdentifier
ltc:,RecordLevel,hasObjectGroup,array<ltc:ObjectGroup>,RecordLevel.hasObjectGroup
ltc:,RecordLevel,hasPersonRole,array<ltc:PersonRole>,RecordLevel.hasPersonRole
ltc:,RecordLevel,hasReference,array<ltc:Reference>,RecordLevel.hasReference
ltc:,RecordLevel,hasResourceRelationship,array<ltc:ResourceRelationship>,RecordLevel.hasResourceRelationship
ltc:,RecordLevel,isDerivedCollection,boolean,RecordLevel.isDerivedCollection
dc:,RecordLevel,license,string,RecordLevel.license
dc:,RecordLevel,rights,string,RecordLevel.rights
dc:,RecordLevel,rightsHolder,string,RecordLevel.rightsHolder
ltc:,Reference,hasIdentifier,array<ltc:Identifier>,Reference.hasIdentifier
ltc:,Reference,referenceDetails,string,Reference.referenceDetails
ltc:,Reference,referenceName,string,Reference.referenceName
ltc:,Reference,referenceType,string,Reference.referenceType
abcd:,Reference,resourceURI,string,Reference.resourceURI
ltc:,ResourceRelationship,hasIdentifier,array<ltc:Identifier>,ResourceRelationship.hasIdentifier
ltc:,ResourceRelationship,hasMeasurementOrFact,array<ltc:MeasurementOrFact>,ResourceRelationship.hasMeasurementOrFact
ltc:,ResourceRelationship,hasReference,array<ltc:Reference>,ResourceRelationship.hasReference
dwc:,ResourceRelationship,relatedResourceID,string,ResourceRelationship.relatedResourceID
ltc:,ResourceRelationship,relatedResourceName,string,ResourceRelationship.relatedResourceName
ltc:,ResourceRelationship,relatedResourceType,string,ResourceRelationship.relatedResourceType
dwc:,ResourceRelationship,relationshipAccordingTo,list,ResourceRelationship.relationshipAccordingTo
dwc:,ResourceRelationship,relationshipEstablishedDate,string,ResourceRelationship.relationshipEstablishedDate
dwc:,ResourceRelationship,relationshipOfResource,string,ResourceRelationship.relationshipOfResource
dwc:,ResourceRelationship,relationshipRemarks,string,ResourceRelationship.relationshipRemarks
dwc:,ResourceRelationship,resourceID,string,ResourceRelationship.resourceID
ltc:,Role,hasIdentifier,array<ltc:Identifier>,Role.hasIdentifier
ltc:,Role,roleName,string,Role.roleName
ltc:,SchemeMeasurementOrFact,hasIdentifier,array<ltc:Identifier>,SchemeMeasurementOrFact.hasIdentifier
ltc:,SchemeMeasurementOrFact,hasReference,array<ltc:Reference>,SchemeMeasurementOrFact.hasReference
ltc:,SchemeMeasurementOrFact,isMandatoryMetric,boolean,SchemeMeasurementOrFact.isMandatoryMetric
ltc:,SchemeMeasurementOrFact,isRepeatableMetric,boolean,SchemeMeasurementOrFact.isRepeatableMetric
ltc:,SchemeMeasurementOrFact,schemeMeasurementType,string,SchemeMeasurementOrFact.schemeMeasurementType
ltc:,SchemeTerm,hasIdentifier,array<ltc:Identifier>,SchemeTerm.hasIdentifier
ltc:,SchemeTerm,hasReference,array<ltc:Reference>,SchemeTerm.hasReference
ltc:,SchemeTerm,isMandatoryTerm,boolean,SchemeTerm.isMandatoryTerm
ltc:,SchemeTerm,isRepeatableTerm,boolean,SchemeTerm.isRepeatableTerm
ltc:,SchemeTerm,termName,string,SchemeTerm.termName
ltc:,StorageLocation,hasAddress,array<ltc:Address>,StorageLocation.hasAddress
ltc:,StorageLocation,hasIdentifier,array<ltc:Identifier>,StorageLocation.hasIdentifier
ltc:,StorageLocation,hasMeasurementOrFact,array<ltc:MeasurementOrFact>,StorageLocation.hasMeasurementOrFact
ltc:,StorageLocation,hasParentStorageLocation,array<ltc:StorageLocation>,StorageLocation.hasParentStorageLocation
ltc:,StorageLocation,hasReference,array<ltc:Reference>,StorageLocation.hasReference
ltc:,StorageLocation,locationDescription,string,StorageLocation.locationDescription
ltc:,StorageLocation,locationName,string,StorageLocation.locationName
ltc:,StorageLocation,locationType,string,StorageLocation.locationType
dwc:,Taxon,genus,string,Taxon.genus
ltc:,Taxon,hasIdentifier,array<ltc:Identifier>,Taxon.hasIdentifier
ltc:,Taxon,hasMeasurementOrFact,array<ltc:MeasurementOrFact>,Taxon.hasMeasurementOrFact
ltc:,Taxon,hasReference,array<ltc:Reference>,Taxon.hasReference
dwc:,Taxon,kingdom,string,Taxon.kingdom
dwc:,Taxon,scientificName,string,Taxon.scientificName
dwc:,Taxon,taxonRank,string,Taxon.taxonRank
ltc:,TemporalCoverage,hasMeasurementOrFact,array<ltc:MeasurementOrFact>,TemporalCoverage.hasMeasurementOrFact
ltc:,TemporalCoverage,hasReference,array<ltc:Reference>,TemporalCoverage.hasReference
ltc:,TemporalCoverage,temporalCoverageEndDateTime,string,TemporalCoverage.temporalCoverageEndDateTime
ltc:,TemporalCoverage,temporalCoverageStartDateTime,string,TemporalCoverage.temporalCoverageStartDateTime
ltc:,TemporalCoverage,temporalCoverageType,string,TemporalCoverage.temporalCoverageType
