iri,term_localName,label,definition,comments,examples,organized_in,issued,status,replaces,rdf_type,term_iri,abcd_equivalence,flags
http://rs.tdwg.org/dwc/terms/version/previousIdentifications-2023-06-28,previousIdentifications,Previous Identifications,A list (concatenated and separated) of previous assignments of names to the dwc:Organism.,Recommended best practice is to separate the values in a list with space vertical bar space (` | `).,"`Chalepidae`; `Pinus abies`; `Anthus sp., field ID by G. Iglesias | Anthus correndera, expert ID by C. Cicero 2009-02-12 based on morphology`",http://rs.tdwg.org/dwc/terms/Organism,6/28/2023,recommended,http://rs.tdwg.org/dwc/terms/version/previousIdentifications-2017-10-06,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/previousIdentifications,DataSets/DataSet/Units/Unit/Identifications/Identification with PreferredFlag = false,simple
http://rs.tdwg.org/dwc/terms/version/recordedBy-2017-10-06,recordedBy,Recorded By,"A list (concatenated and separated) of names of people, groups, or organizations responsible for recording the original Occurrence. The primary collector or observer, especially one who applies a personal identifier (recordNumber), should be listed first.",Recommended best practice is to separate the values in a list with space vertical bar space (` | `).,`José E. Crespo`. `Oliver P. Pearson | Anita K. Pearson` (where the value in recordNumber `OPP 7101` corresponds to the collector number for the specimen in the field catalog of Oliver P. Pearson).,http://rs.tdwg.org/dwc/terms/Occurrence,10/6/2017,superseded,http://rs.tdwg.org/dwc/terms/version/recordedBy-2014-10-23,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/recordedBy,DataSets/DataSet/Units/Unit/Gathering/GatheringAgents/GatheringAgentsText,simple
http://rs.tdwg.org/dwc/terms/version/recordedByID-2021-07-15,recordedByID,Recorded By ID,"A list (concatenated and separated) of the globally unique identifier for the person, people, groups, or organizations responsible for recording the original Occurrence.","Recommended best practice is to provide a single identifier that disambiguates the details of the identifying agent. If a list is used, it is recommended to separate the values in the list with space vertical bar space ( | ). The order of the identifiers on any list for this term can not be guaranteed to convey any semantics.",`https://orcid.org/0000-0002-1825-0097` (for an individual); `https://orcid.org/0000-0002-1825-0097 | https://orcid.org/0000-0002-1825-0098` (for a list of people).,http://rs.tdwg.org/dwc/terms/Occurrence,7/15/2021,superseded,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/recordedByID,not in ABCD,simple
http://rs.tdwg.org/dwc/terms/version/recordNumber-2017-10-06,recordNumber,Record Number,"An identifier given to the Occurrence at the time it was recorded. Often serves as a link between field notes and an Occurrence record, such as a specimen collector's number.",,`OPP 7101`,http://rs.tdwg.org/dwc/terms/Occurrence,10/6/2017,superseded,http://rs.tdwg.org/dwc/terms/version/recordNumber-2009-04-24,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/recordNumber,DataSets/DataSet/Units/Unit/CollectorsFieldNumber,simple
http://rs.tdwg.org/dwc/terms/version/RelatedBasisOfRecord-2008-11-19,RelatedBasisOfRecord,Related Basis of Record,The nature of the related resource. Recommended best practice is to use the same controlled vocabulary as for basisOfRecord.,"Example: ""PreservedSpecimen""",,http://rs.tdwg.org/dwc/terms/ResourceRelationship,11/19/2008,deprecated,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/RelatedBasisOfRecord,not in ABCD,
http://rs.tdwg.org/dwc/curatorial/version/RelatedCatalogedItems-2007-04-17,RelatedCatalogedItems,Related Cataloged Items,"One or more GlobalUniqueIdentifiers (cf. http://wiki.tdwg.org/twiki/bin/view/DarwinCore/GlobalUniqueIdentifier ) of related objects or observations, optionally preceded by the nature of the relationship. Examples: ""(sibling of) URN:catalog:MVZ:Mammal:1234"", ""(endoparasite of) URN:catalog:FMNH:Bird:41321"", ""(sheet 2 of 2) URN:WTU:VascularPlants:353087"".",,,,4/17/2007,deprecated,http://digir.net/schema/conceptual/darwin/2003/1.0/version/RelatedCatalogedItems-2003-06-17,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/curatorial/RelatedCatalogedItems,DataSets/DataSet/Units/Unit/Associations/UnitAssociation/AssociatedUnitSourceInstitutionCode + DataSets/DataSet/Units/Unit/Associations/UnitAssociation/AssociatedUnitSourceName + DataSets/DataSet/Units/Unit/Associations/UnitAssociation/AssociatedUnitID,
http://digir.net/schema/conceptual/darwin/2003/1.0/version/RelatedCatalogItem-2003-06-13,RelatedCatalogItem,Related Cataloged Item,"The fully qualified identifier of a related Catalog Item (a reference to another specimen); Institution Code, Collection Code, and Catalog Number of the related Cataloged Item, where a space separates the three subelements.",,,,6/13/2003,deprecated,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://digir.net/schema/conceptual/darwin/2003/1.0/RelatedCatalogItem,,
http://rs.tdwg.org/dwc/dwcore/version/RelatedInformation-2007-04-17,RelatedInformation,Related Information,"Free text references to information not delivered via the conceptual schema, including URLs to specimen details, publications, bibliographic references, etc.",,,,4/17/2007,deprecated,http://www.iobis.org/obis/version/RecordURL-2005-07-10,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/RelatedInformation,DataSets/DataSet/Units/Unit/RecordURI,
http://rs.tdwg.org/dwc/terms/version/relatedResourceID-2018-09-06,relatedResourceID,Related Resource ID,"An identifier for a related resource (the object, rather than the subject of the relationship).",,`dc609808-b09b-11e8-96f8-529269fb1459`,http://rs.tdwg.org/dwc/terms/ResourceRelationship,9/6/2018,recommended,http://rs.tdwg.org/dwc/terms/version/relatedResourceID-2017-10-06,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/relatedResourceID,DataSets/DataSet/Units/Unit/Associations/UnitAssociation/AssociatedUnitSourceInstitutionCode + DataSets/DataSet/Units/Unit/Associations/UnitAssociation/AssociatedUnitSourceName + DataSets/DataSet/Units/Unit/Associations/UnitAssociation/AssociatedUnitID,extension
http://rs.tdwg.org/dwc/terms/version/relatedResourceType-2009-04-24,relatedResourceType,Related Resource Type,The type of the related resource. Recommended best practice is to use a controlled vocabulary.,"Examples: ""StillImage"", ""MovingImage"", ""Sound"", PhysicalObject"", ""PreservedSpecimen"", FossilSpecimen"", LivingSpecimen"", ""HumanObservation"", ""MachineObservation"", ""Location"", ""Taxonomy"", ""NomeclaturalChecklist"", ""Publication""",,http://rs.tdwg.org/dwc/terms/ResourceRelationship,4/24/2009,deprecated,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/relatedResourceType,not in ABCD,
