subject_id,informationElement_localName,subject_category,mapping_set_group,predicate_id,predicate_label,object_id,object_label,object_category,mapping_justification,author_id,author_label,reviewer_id,reviewer_label,creator_id,creator_label,subject_type,object_type,mapping_date,object_match_field,comment
mids:License,License,mids1,all,http://www.w3.org/2004/02/skos/core#exactMatch,exactMatch,http://purl.org/dc/terms/license,License,http://purl.org/dc/terms/,semapv:HumanCuration,Mathias Dillen | Sam Leeflang,Mathias Dillen | Sam Leeflang,,,https://orcid.org/0000-0002-3973-1262,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:Modified,Modified,mids1,all,http://www.w3.org/2004/02/skos/core#exactMatch,exactMatch,http://purl.org/dc/terms/modified,Modified,http://purl.org/dc/terms/,semapv:HumanCuration,Mathias Dillen | Sam Leeflang,Mathias Dillen | Sam Leeflang,,,https://orcid.org/0000-0002-3973-1263,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:QualitativeLocation,QualitativeLocation,mids2,all,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/locality,Locality,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Mathias Dillen | Sam Leeflang,Mathias Dillen | Sam Leeflang,,,https://orcid.org/0000-0002-3973-1264,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:QualitativeLocation,QualitativeLocation,mids2,all,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/county,County,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Mathias Dillen | Sam Leeflang,Mathias Dillen | Sam Leeflang,,,https://orcid.org/0000-0002-3973-1265,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:QualitativeLocation,QualitativeLocation,mids2,all,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/municipality,Municipality,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Mathias Dillen | Sam Leeflang,Mathias Dillen | Sam Leeflang,,,https://orcid.org/0000-0002-3973-1266,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:QualitativeLocation,QualitativeLocation,mids2,all,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/verbatimLocality,Verbatim Locality,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Mathias Dillen,Mathias Dillen,,,https://orcid.org/0000-0002-3973-1267,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:QualitativeLocation,QualitativeLocation,mids2,all,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/island,Island,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Mathias Dillen | Sam Leeflang,Mathias Dillen | Sam Leeflang,,,https://orcid.org/0000-0002-3973-1268,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:QualitativeLocation,QualitativeLocation,mids2,all,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/verbatimCoordinates,Verbatim Coordinates,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Mathias Dillen,Mathias Dillen,,,https://orcid.org/0000-0002-3973-1269,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:QualitativeLocation,QualitativeLocation,mids2,all,https://www.w3.org/TR/2004/REC-owl-semantics-20040210/#owl_intersectionOf,intersectionOf,http://rs.tdwg.org/dwc/terms/verbatimLongitude,Verbatim Longitude,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Mathias Dillen,Mathias Dillen,,,https://orcid.org/0000-0002-3973-1272,Mathias Dillen,rdf property,rdf property,2023-09,http://rs.tdwg.org/dwc/terms/verbatimLongitude | http://rs.tdwg.org/dwc/terms/verbatimLatitude,All properties in object_match_field need to be present
mids:QualitativeLocation,QualitativeLocation,mids2,all,https://www.w3.org/TR/2004/REC-owl-semantics-20040210/#owl_intersectionOf,intersectionOf,http://rs.tdwg.org/dwc/terms/verbatimLatitude,Verbatim Latitude,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Mathias Dillen,Mathias Dillen,,,https://orcid.org/0000-0002-3973-1273,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:QualitativeLocation,QualitativeLocation,mids2,all,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/continent,Continent,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Sam Leeflang,Sam Leeflang,,,https://orcid.org/0000-0002-3973-1274,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:QualitativeLocation,QualitativeLocation,mids2,all,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/country,Country,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Sam Leeflang,Sam Leeflang,,,https://orcid.org/0000-0002-3973-1275,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:QualitativeLocation,QualitativeLocation,mids2,all,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/countryCode,Country Code,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Sam Leeflang,Sam Leeflang,,,https://orcid.org/0000-0002-3973-1276,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:QualitativeLocation,QualitativeLocation,mids2,all,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/islandGroup,Island Group,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Sam Leeflang,Sam Leeflang,,,https://orcid.org/0000-0002-3973-1277,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:QualitativeLocation,QualitativeLocation,mids2,all,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/stateProvince,State Province,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Sam Leeflang,Sam Leeflang,,,https://orcid.org/0000-0002-3973-1278,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:QualitativeLocation,QualitativeLocation,mids2,all,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/waterBody,Water Body,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Sam Leeflang,Sam Leeflang,,,https://orcid.org/0000-0002-3973-1279,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:QualitativeLocation,QualitativeLocation,mids2,all,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/higherGeography,Higher Geography,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Elspeth Haston,Elspeth Haston,,,https://orcid.org/0000-0002-3973-1279,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:QuantitativeLocation,QuantitativeLocation,mids2,all,http://www.w3.org/2004/02/skos/core#exactMatch,exactMatch,http://rs.tdwg.org/dwc/terms/locationID,Location ID,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Mathias Dillen,Mathias Dillen,,,https://orcid.org/0000-0002-3973-1274,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:QuantitativeLocation,QuantitativeLocation,mids2,all,https://www.w3.org/TR/2004/REC-owl-semantics-20040210/#owl_intersectionOf,intersectionOf,http://rs.tdwg.org/dwc/terms/decimalLatitude,Decimal Latitude,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Mathias Dillen,Mathias Dillen,,,https://orcid.org/0000-0002-3973-1275,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:QuantitativeLocation,QuantitativeLocation,mids2,all,https://www.w3.org/TR/2004/REC-owl-semantics-20040210/#owl_intersectionOf,intersectionOf,http://rs.tdwg.org/dwc/terms/decimalLongitude,Decimal Longitude,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Mathias Dillen,Mathias Dillen,,,https://orcid.org/0000-0002-3973-1276,Mathias Dillen,rdf property,rdf property,2023-09,http://rs.tdwg.org/dwc/terms/decimalLatitude | http://rs.tdwg.org/dwc/terms/decimalLongitude,All properties in object_match_field need to be present
mids:QuantitativeLocation,QuantitativeLocation,mids2,all,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/footprintWKT,Footprint WKT,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Mathias Dillen,Mathias Dillen,,,https://orcid.org/0000-0002-3973-1280,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:CollectingAgent,CollectingAgent,mids2,biological,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/recordedBy,Recorded By,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Mathias Dillen | Sam Leeflang,Mathias Dillen | Sam Leeflang,,,https://orcid.org/0000-0002-3973-1282,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:CollectingAgent,CollectingAgent,mids2,biological,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/recordedByID,Recorded By ID,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Mathias Dillen | Sam Leeflang,Mathias Dillen | Sam Leeflang,,,https://orcid.org/0000-0002-3973-1283,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:CollectionDate,DateCollected,mids2,biological,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/eventDate,Event Date,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Mathias Dillen | Sam Leeflang,Mathias Dillen | Sam Leeflang,,,https://orcid.org/0000-0002-3973-1284,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:CollectionDate,DateCollected,mids2,biological,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/year,Year,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Mathias Dillen,Mathias Dillen,,,https://orcid.org/0000-0002-3973-1285,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:CollectionDate,DateCollected,mids2,biological,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/verbatimEventDate,Verbatim Event Date,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Mathias Dillen,Mathias Dillen,,,https://orcid.org/0000-0002-3973-1286,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:CollectorNumber,CollectingNumber,mids2,biological,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/fieldNumber,Field Number,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Mathias Dillen | Sam Leeflang,Mathias Dillen | Sam Leeflang,,,https://orcid.org/0000-0002-3973-1287,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:CollectorNumber,CollectingNumber,mids2,biological,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/recordNumber,Record Number,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Mathias Dillen | Sam Leeflang,Mathias Dillen | Sam Leeflang,,,https://orcid.org/0000-0002-3973-1288,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:media,Media,mids2,biological,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.gbif.org/terms/1.0/mediaType,Media Type,http://rs.gbif.org/terms,semapv:HumanCuration,Mathias Dillen,Mathias Dillen,,,https://orcid.org/0000-0002-3973-1289,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:media,Media,mids2,biological,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/associatedMedia,Associated Media,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Sam Leeflang,Sam Leeflang,,,https://orcid.org/0000-0002-3973-1289,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:media,Media,mids2,biological,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://purl.org/dc/terms/identifier,Identifier,http://rs.gbif.org/terms/1.0/Multimedia,semapv:HumanCuration,Mathias Dillen,Mathias Dillen,,,https://orcid.org/0000-0002-3973-1289,Mathias Dillen,rdf property,rdf property,2023-12-05,,
mids:media,Media,mids2,biological,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://purl.org/dc/terms/references,References,http://rs.gbif.org/terms/1.0/Multimedia,semapv:HumanCuration,Mathias Dillen,Mathias Dillen,,,https://orcid.org/0000-0002-3973-1289,Mathias Dillen,rdf property,rdf property,2023-12-05,,
mids:media,Media,mids2,biological,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/ac/terms/accessURI,Access URI,http://rs.tdwg.org/ac/terms/,semapv:HumanCuration,Mathias Dillen,Mathias Dillen,,,https://orcid.org/0000-0002-3973-1289,Mathias Dillen,rdf property,rdf property,2023-12-05,,
mids:media,Media,mids2,biological,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://purl.org/dc/terms/identifier,Identifier,http://rs.tdwg.org/ac/terms/,semapv:HumanCuration,Mathias Dillen,Mathias Dillen,,,https://orcid.org/0000-0002-3973-1289,Mathias Dillen,rdf property,rdf property,2023-12-05,,
mids:GeologicalAge,GeologicalAge,mids2,geological,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/earliestAgeOrLowestStage,Earliest Age Or Lowest Stage,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,https://orcid.org/0000-0002-5669-2769,Sam Leeflang,,,https://orcid.org/0000-0002-5669-2769,Sam Leeflang,rdf property,rdf property,2023-09-13,,
mids:GeologicalAge,GeologicalAge,mids2,geological,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/earliestEonOrLowestEonothem,Earliest Eon Or Lowest Eonothem,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,https://orcid.org/0000-0002-5669-2769,Sam Leeflang,,,https://orcid.org/0000-0002-5669-2769,Sam Leeflang,rdf property,rdf property,2023-09-13,,
mids:GeologicalAge,GeologicalAge,mids2,geological,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/earliestEpochOrLowestSeries,Earliest Epoch Or Lowest Series,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,https://orcid.org/0000-0002-5669-2769,Sam Leeflang,,,https://orcid.org/0000-0002-5669-2769,Sam Leeflang,rdf property,rdf property,2023-09-13,,
mids:GeologicalAge,GeologicalAge,mids2,geological,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/earliestEraOrLowestErathem,Earliest Era Or Lowest Erathem,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,https://orcid.org/0000-0002-5669-2769,Sam Leeflang,,,https://orcid.org/0000-0002-5669-2769,Sam Leeflang,rdf property,rdf property,2023-09-13,,
mids:GeologicalAge,GeologicalAge,mids2,geological,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/earliestPeriodOrLowestSystem,Earliest Period Or Lowest System,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,https://orcid.org/0000-0002-5669-2769,Sam Leeflang,,,https://orcid.org/0000-0002-5669-2769,Sam Leeflang,rdf property,rdf property,2023-09-13,,
mids:GeologicalAge,GeologicalAge,mids2,geological,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/latestAgeOrHighestStage,Latest Age Or Highest Stage,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,https://orcid.org/0000-0002-5669-2769,Sam Leeflang,,,https://orcid.org/0000-0002-5669-2769,Sam Leeflang,rdf property,rdf property,2023-09-13,,
mids:GeologicalAge,GeologicalAge,mids2,geological,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/latestEonOrHighestEonothem,Latest Eon Or Highest Eonothem,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,https://orcid.org/0000-0002-5669-2769,Sam Leeflang,,,https://orcid.org/0000-0002-5669-2769,Sam Leeflang,rdf property,rdf property,2023-09-13,,
mids:GeologicalAge,GeologicalAge,mids2,geological,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/latestEpochOrHighestSeries,Latest Epoch Or Highest Series,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,https://orcid.org/0000-0002-5669-2769,Sam Leeflang,,,https://orcid.org/0000-0002-5669-2769,Sam Leeflang,rdf property,rdf property,2023-09-13,,
mids:GeologicalAge,GeologicalAge,mids2,geological,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/latestEraOrHighestErathem,Latest Era Or Highest Erathem,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,https://orcid.org/0000-0002-5669-2769,Sam Leeflang,,,https://orcid.org/0000-0002-5669-2769,Sam Leeflang,rdf property,rdf property,2023-09-13,,
mids:GeologicalAge,GeologicalAge,mids2,geological,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/latestPeriodOrHighestSystem,Latest Period Or Highest System,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,https://orcid.org/0000-0002-5669-2769,Sam Leeflang,,,https://orcid.org/0000-0002-5669-2769,Sam Leeflang,rdf property,rdf property,2023-09-13,,
mids:GeologicalAge,GeologicalAge,mids2,geological,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/bed,Bed,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,https://orcid.org/0000-0002-5669-2769,Sam Leeflang,,,https://orcid.org/0000-0002-5669-2769,Sam Leeflang,rdf property,rdf property,2023-09-13,,
mids:GeologicalAge,GeologicalAge,mids2,geological,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/formation,Formation,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,https://orcid.org/0000-0002-5669-2769,Sam Leeflang,,,https://orcid.org/0000-0002-5669-2769,Sam Leeflang,rdf property,rdf property,2023-09-13,,
mids:GeologicalAge,GeologicalAge,mids2,geological,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/group,Group,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,https://orcid.org/0000-0002-5669-2769,Sam Leeflang,,,https://orcid.org/0000-0002-5669-2769,Sam Leeflang,rdf property,rdf property,2023-09-13,,
mids:GeologicalAge,GeologicalAge,mids2,geological,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/member,Member,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,https://orcid.org/0000-0002-5669-2769,Sam Leeflang,,,https://orcid.org/0000-0002-5669-2769,Sam Leeflang,rdf property,rdf property,2023-09-13,,
mids:GeologicalAge,GeologicalAge,mids2,geological,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/highestBiostratigraphicZone,Highest Biostratigraphic Zone,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,https://orcid.org/0000-0002-5669-2769,Sam Leeflang,,,https://orcid.org/0000-0002-5669-2769,Sam Leeflang,rdf property,rdf property,2023-09-13,,
