sssom_subject_id,sssom_subject_category,sssom_predicate_id,sssom_object_id,sssom_object_category,sssom_mapping_justification,sssom_author_id,sssom_author_label,sssom_creator_id,sssom_creator_label,sssom_subject_type,sssom_object_type,sssom_object_source,sssom_mapping_date,sssom_object_match_field,sssom_comment,semapv_regexRemoval,object_source_version,sssom_reviewer_id,sssom_reviewer_label,semapv_RegexRemoval,term_local_name
mids:QuantitativeLocation,mids2,skos:narrowMatch,abcd:Gathering-WFS,abcd:Unit,semapv:HumanCuration,orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849,Stefan Seifert|David Fichtmueller,orcid:0000-0002-3973-1277,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Units/Unit/Gathering/WFS,2024-06-26,,WMS URL with center coordinate given,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,QuantitativeLocation
mids:QuantitativeLocation,mids2,skos:narrowMatch,abcd:Gathering-WMSURL,abcd:Unit,semapv:HumanCuration,orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849,Stefan Seifert|David Fichtmueller,orcid:0000-0002-3973-1278,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Units/Unit/Gathering/WMSURL,2024-06-26,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,QuantitativeLocation
mids:CollectingAgent,mids2,skos:narrowMatch,abcd:Gathering-AgentText,abcd:Unit,semapv:HumanCuration,orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849,Stefan Seifert|David Fichtmueller,orcid:0000-0002-3973-1281,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Units/Unit/Gathering/Agents/GatheringAgent/AgentText,2024-06-26,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,CollectingAgent
mids:CollectingAgent,mids2,skos:narrowMatch,abcd:GatheringAgent-FullName,abcd:Unit,semapv:HumanCuration,orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849,Stefan Seifert|David Fichtmueller,orcid:0000-0002-3973-1282,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Units/Unit/Gathering/Agents/GatheringAgent/Person/FullName,2024-06-26,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,CollectingAgent
mids:CollectingAgent,mids2,skos:narrowMatch,abcd:GatheringAgent-InheritedName,abcd:Unit,semapv:HumanCuration,orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849,Stefan Seifert|David Fichtmueller,orcid:0000-0002-3973-1283,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Units/Unit/Gathering/Agents/GatheringAgent/Person/AtomisedName/InheritedName,2024-06-26,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,CollectingAgent
mids:CollectingAgent,mids2,skos:narrowMatch,abcd:GatheringAgentsText,abcd:Unit,semapv:HumanCuration,orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849,Stefan Seifert|David Fichtmueller,orcid:0000-0002-3973-1284,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Units/Unit/Gathering/Agents/GatheringAgentsText,2024-06-26,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,CollectingAgent
mids:CollectionDate,mids2,skos:narrowMatch,abcd:Gathering-DateTime-ISODateTimeBegin,abcd:Unit,semapv:HumanCuration,orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849,Stefan Seifert|David Fichtmueller,orcid:0000-0002-3973-1285,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Units/Unit/Gathering/DateTime/ISODateTimeBegin,2024-06-26,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,CollectionDate
mids:CollectionDate,mids2,skos:narrowMatch,abcd:Gathering-DateTime-DateText,abcd:Unit,semapv:HumanCuration,orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849,Stefan Seifert|David Fichtmueller,orcid:0000-0002-3973-1286,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Units/Unit/Gathering/DateTime/DateText,2024-06-26,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,CollectionDate
mids:CollectorNumber,mids2,skos:exactMatch,abcd:CollectorsFieldNumber,abcd:Unit,semapv:HumanCuration,orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849,Stefan Seifert|David Fichtmueller,orcid:0000-0002-3973-1287,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Units/Unit/CollectorsFieldNumber,2024-06-26,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,CollectorNumber
mids:TypeStatus,mids2,skos:exactMatch,abcd:SpecimenUnit-NomenclaturalTypeDesignation-TypeStatus,abcd:Unit,semapv:HumanCuration,orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849,Stefan Seifert|David Fichtmueller,orcid:0000-0002-3973-1288,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Units/Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypeStatus,2024-06-26,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,TypeStatus
mids:media,mids2,skos:narrowMatch,abcd:MultiMediaObject-FileURI,abcd:Unit,semapv:HumanCuration,orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849,Stefan Seifert|David Fichtmueller,orcid:0000-0002-3973-1289,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Units/Unit/MultiMediaObjects/MultiMediaObject/FileURI,2024-06-26,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,media
mids:media,mids2,skos:narrowMatch,abcd:MultiMediaObject-ID,abcd:Unit,semapv:HumanCuration,orcid:0009-0007-3961-8923|orcid:0000-0002-0829-5849,Stefan Seifert|David Fichtmueller,orcid:0000-0002-3973-1290,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Units/Unit/MultiMediaObjects/MultiMediaObject/ID,2024-06-26,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,media
mids:AssociatedMediaID,mids3,skos:narrowMatch,abcd:Gathering-SiteImage-FileURI,abcd:Unit,semapv:HumanCuration,orcid:0000-0002-0829-5849,David Fichtmueller,orcid:0000-0002-3973-1291,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Units/Unit/Gathering/SiteImages/SiteImage/FileURI,2024-06-26,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,AssociatedMediaID
mids:AssociatedMediaID,mids3,skos:narrowMatch,abcd:Gathering-SiteImage-FileID,abcd:Unit,semapv:HumanCuration,orcid:0000-0002-0829-5849,David Fichtmueller,orcid:0000-0002-3973-1292,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Units/Unit/Gathering/SiteImages/SiteImage/FileID,2024-06-26,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,AssociatedMediaID
mids:PhysicalSpecimenID,mids0,skos:narrowMatch,dwc:materialSampleID,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,orcid:0000-0002-3973-1252,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,PhysicalSpecimenID
mids:PhysicalSpecimenID,mids0,skos:narrowMatch,dwc:catalogNumber,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1253,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,PhysicalSpecimenID
mids:PhysicalSpecimenID,mids0,skos:narrowMatch,dwc:otherCatalogNumbers,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1254,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,PhysicalSpecimenID
mids:PhysicalSpecimenID,mids0,skos:narrowMatch,dwc:occurrenceID,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-5669-2769,Sam Leeflang,orcid:0000-0002-3973-1254,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,PhysicalSpecimenID
mids:PhysicalSpecimenID,mids0,skos:narrowMatch,dwc:materialEntityID,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3090-1761,Wouter Addink,orcid:0000-0002-3973-1254,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,PhysicalSpecimenID
mids:Organization,mids0,skos:narrowMatch,dwc:ownerInstitutionCode,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1255,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,Organization
mids:Organization,mids0,skos:narrowMatch,dwc:institutionID,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,orcid:0000-0002-3973-1256,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,Organization
mids:Organization,mids0,skos:narrowMatch,dwc:institutionCode,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,orcid:0000-0002-3973-1257,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,Organization
mids:Name,mids1,skos:narrowMatch,dwc:scientificName,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1258,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,Name
mids:Name,mids1,skos:narrowMatch,dwc:vernacularName,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1259,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,Name
mids:Name,mids1,skos:narrowMatch,dwc:scientificNameID,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-5669-2769,Sam Leeflang,orcid:0000-0002-3973-1260,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown|0,Name
mids:ScientificNameID,mids1,skos:narrowMatch,gbif:taxonKey,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1260,Mathias Dillen,rdf property,rdf property,,2024-06-26,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown|0,ScientificNameID
mids:Name,mids1,skos:narrowMatch,dwc:organismName,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-5669-2769,Sam Leeflang,orcid:0000-0002-3973-1261,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,Name
mids:SpecimenType,mids1,skos:exactMatch,dwc:basisOfRecord,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,orcid:0000-0002-3973-1260,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,SpecimenType
mids:ObjectType,mids1,skos:exactMatch,dwc:preparations,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,orcid:0000-0002-3973-1261,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,ObjectType
mids:License,mids1,skos:exactMatch,dc:license,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,orcid:0000-0002-3973-1262,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,License
mids:Modified,mids1,skos:exactMatch,dc:modified,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,orcid:0000-0002-3973-1263,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,Modified
mids:QualitativeLocation,mids2,skos:narrowMatch,dwc:locality,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,orcid:0000-0002-3973-1264,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,QualitativeLocation
mids:QualitativeLocation,mids2,skos:narrowMatch,dwc:county,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,orcid:0000-0002-3973-1265,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,QualitativeLocation
mids:QualitativeLocation,mids2,skos:narrowMatch,dwc:municipality,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,orcid:0000-0002-3973-1266,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,QualitativeLocation
mids:QualitativeLocation,mids2,skos:narrowMatch,dwc:verbatimLocality,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1267,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,QualitativeLocation
mids:QualitativeLocation,mids2,skos:narrowMatch,dwc:island,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,orcid:0000-0002-3973-1268,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,QualitativeLocation
mids:QualitativeLocation,mids2,skos:narrowMatch,dwc:verbatimCoordinates,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1269,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,QualitativeLocation
