term_uri,skos_mappingRelation,related_termName,term_local_name,term_ns_name
http://rs.tdwg.org/ltc/terms/hasObjectGroup,broadMatch,http://purl.org/dc/terms/relation,hasObjectGroup,ltc:hasObjectGroup
http://rs.tdwg.org/ltc/terms/hasReference,broadMatch,http://purl.org/dc/terms/relation,hasReference,ltc:hasReference
http://rs.tdwg.org/ltc/terms/hasSchemeMeasurementOrFact,broadMatch,http://purl.org/dc/terms/relation,hasSchemeMeasurementOrFact,ltc:hasSchemeMeasurementOrFact
http://rs.tdwg.org/ltc/terms/hasSchemeTerm,broadMatch,http://purl.org/dc/terms/relation,hasSchemeTerm,ltc:hasSchemeTerm
http://rs.tdwg.org/ltc/terms/schemeName,broadMatch,http://purl.org/dc/terms/title,schemeName,ltc:schemeName
http://rs.tdwg.org/ltc/terms/MeasurementOrFact,closeMatch,http://rs.tdwg.org/dwc/terms/MeasurementOrFact,MeasurementOrFact,ltc:MeasurementOrFact
http://rs.tdwg.org/ltc/terms/hasIdentifier,broadMatch,http://purl.org/dc/terms/relation,hasIdentifier,ltc:hasIdentifier
http://rs.tdwg.org/ltc/terms/hasReference,broadMatch,http://purl.org/dc/terms/relation,hasReference,ltc:hasReference
http://rs.tdwg.org/ltc/terms/hasIdentifier,broadMatch,http://purl.org/dc/terms/relation,hasIdentifier,ltc:hasIdentifier
http://rs.tdwg.org/ltc/terms/hasMeasurementOrFact,broadMatch,http://purl.org/dc/terms/relation,hasMeasurementOrFact,ltc:hasMeasurementOrFact
http://rs.tdwg.org/ltc/terms/hasObjectClassification,broadMatch,http://purl.org/dc/terms/relation,hasObjectClassification,ltc:hasObjectClassification
http://rs.tdwg.org/ltc/terms/hasReference,broadMatch,http://purl.org/dc/terms/relation,hasReference,ltc:hasReference
http://rs.tdwg.org/ltc/terms/objectClassificationName,broadMatch,http://purl.org/dc/terms/title,objectClassificationName,ltc:objectClassificationName
http://rs.tdwg.org/ltc/terms/ObjectGroup,broadMatch,http://purl.org/dc/dcmitype/Collection,ObjectGroup,ltc:ObjectGroup
http://rs.tdwg.org/ltc/terms/alternativeCollectionName,broadMatch,http://purl.org/dc/terms/title,alternativeCollectionName,ltc:alternativeCollectionName
http://rs.tdwg.org/ltc/terms/baseTypeOfObjectGroup,broadMatch,http://purl.org/dc/terms/type,baseTypeOfObjectGroup,ltc:baseTypeOfObjectGroup
http://rs.tdwg.org/ltc/terms/collectionManagementSystem,broadMatch,http://www.w3.org/ns/prov#SoftwareAgent,collectionManagementSystem,ltc:collectionManagementSystem
http://rs.tdwg.org/ltc/terms/collectionName,broadMatch,http://purl.org/dc/terms/title,collectionName,ltc:collectionName
http://rs.tdwg.org/ltc/terms/description,broadMatch,http://purl.org/dc/terms/description,description,ltc:description
http://rs.tdwg.org/ltc/terms/hasChronometricAge,broadMatch,http://purl.org/dc/terms/relation,hasChronometricAge,ltc:hasChronometricAge
http://rs.tdwg.org/ltc/terms/hasCollectionStatusHistory,broadMatch,http://purl.org/dc/terms/relation,hasCollectionStatusHistory,ltc:hasCollectionStatusHistory
http://rs.tdwg.org/ltc/terms/hasEcologicalContext,broadMatch,http://purl.org/dc/terms/relation,hasEcologicalContext,ltc:hasEcologicalContext
http://rs.tdwg.org/ltc/terms/hasEvent,broadMatch,http://purl.org/dc/terms/relation,hasEvent,ltc:hasEvent
http://rs.tdwg.org/ltc/terms/hasGeographicContext,broadMatch,http://purl.org/dc/terms/relation,hasGeographicContext,ltc:hasGeographicContext
http://rs.tdwg.org/ltc/terms/hasGeologicalContext,broadMatch,http://purl.org/dc/terms/relation,hasGeologicalContext,ltc:hasGeologicalContext
http://rs.tdwg.org/ltc/terms/hasIdentifier,broadMatch,http://purl.org/dc/terms/relation,hasIdentifier,ltc:hasIdentifier
http://rs.tdwg.org/ltc/terms/hasMeasurementOrFact,broadMatch,http://purl.org/dc/terms/relation,hasMeasurementOrFact,ltc:hasMeasurementOrFact
http://rs.tdwg.org/ltc/terms/hasObjectClassification,broadMatch,http://purl.org/dc/terms/relation,hasObjectClassification,ltc:hasObjectClassification
http://rs.tdwg.org/ltc/terms/hasOrganisationalUnit,broadMatch,http://purl.org/dc/terms/relation,hasOrganisationalUnit,ltc:hasOrganisationalUnit
http://rs.tdwg.org/ltc/terms/hasPersonRole,broadMatch,http://purl.org/dc/terms/relation,hasPersonRole,ltc:hasPersonRole
http://rs.tdwg.org/ltc/terms/hasReference,broadMatch,http://purl.org/dc/terms/relation,hasReference,ltc:hasReference
http://rs.tdwg.org/ltc/terms/hasResourceRelationship,broadMatch,http://purl.org/dc/terms/relation,hasResourceRelationship,ltc:hasResourceRelationship
http://rs.tdwg.org/ltc/terms/hasStorageLocation,broadMatch,http://purl.org/dc/terms/relation,hasStorageLocation,ltc:hasStorageLocation
http://rs.tdwg.org/ltc/terms/hasTaxon,broadMatch,http://purl.org/dc/terms/relation,hasTaxon,ltc:hasTaxon
http://rs.tdwg.org/ltc/terms/material,relatedMatch,https://www.cidoc-crm.org/Entity/e57-material/version-7.1.1,material,ltc:material
http://rs.tdwg.org/ltc/terms/objectType,closeMatch,http://rs.tdwg.org/abcd/terms/kindOfUnit,objectType,ltc:objectType
http://rs.tdwg.org/ltc/terms/period,closeMatch,https://www.cidoc-crm.org/Entity/e4-period/version-6.2,period,ltc:period
http://rs.tdwg.org/ltc/terms/preparationType,closeMatch,http://rs.tdwg.org/abcd/terms/PreparationType,preparationType,ltc:preparationType
http://rs.tdwg.org/ltc/terms/preservationMethod,closeMatch,http://rs.tdwg.org/abcd/terms/PreservationType,preservationMethod,ltc:preservationMethod
http://rs.tdwg.org/ltc/terms/preservationMode,closeMatch,http://www.synthesys.info/ABCDEFG/1.0/PreservationMode,preservationMode,ltc:preservationMode
http://rs.tdwg.org/ltc/terms/typeOfObjectGroup,broadMatch,http://purl.org/dc/terms/type,typeOfObjectGroup,ltc:typeOfObjectGroup
http://rs.tdwg.org/ltc/terms/OrganisationalUnit,narrowMatch,http://www.w3.org/ns/org#Organization,OrganisationalUnit,ltc:OrganisationalUnit
http://rs.tdwg.org/ltc/terms/OrganisationalUnit,narrowMatch,http://www.w3.org/ns/org#OrganizationalUnit,OrganisationalUnit,ltc:OrganisationalUnit
http://rs.tdwg.org/ltc/terms/hasAddress,broadMatch,http://purl.org/dc/terms/relation,hasAddress,ltc:hasAddress
http://rs.tdwg.org/ltc/terms/hasContactDetail,broadMatch,http://purl.org/dc/terms/relation,hasContactDetail,ltc:hasContactDetail
http://rs.tdwg.org/ltc/terms/hasIdentifier,broadMatch,http://purl.org/dc/terms/relation,hasIdentifier,ltc:hasIdentifier
http://rs.tdwg.org/ltc/terms/hasMeasurementOrFact,broadMatch,http://purl.org/dc/terms/relation,hasMeasurementOrFact,ltc:hasMeasurementOrFact
http://rs.tdwg.org/ltc/terms/hasParentOrganisationalUnit,broadMatch,http://purl.org/dc/terms/relation,hasParentOrganisationalUnit,ltc:hasParentOrganisationalUnit
http://rs.tdwg.org/ltc/terms/hasPersonRole,broadMatch,http://purl.org/dc/terms/relation,hasPersonRole,ltc:hasPersonRole
http://rs.tdwg.org/ltc/terms/hasReference,broadMatch,http://purl.org/dc/terms/relation,hasReference,ltc:hasReference
http://rs.tdwg.org/ltc/terms/organisationalUnitName,broadMatch,http://purl.org/dc/terms/title,organisationalUnitName,ltc:organisationalUnitName
http://rs.tdwg.org/ltc/terms/organisationalUnitType,broadMatch,http://purl.org/dc/terms/type,organisationalUnitType,ltc:organisationalUnitType
http://rs.tdwg.org/ltc/terms/Person,closeMatch,http://www.w3.org/ns/prov#Person,Person,ltc:Person
http://rs.tdwg.org/ltc/terms/hasAddress,broadMatch,http://purl.org/dc/terms/relation,hasAddress,ltc:hasAddress
http://rs.tdwg.org/ltc/terms/hasContactDetail,broadMatch,http://purl.org/dc/terms/relation,hasContactDetail,ltc:hasContactDetail
http://rs.tdwg.org/ltc/terms/hasIdentifier,broadMatch,http://purl.org/dc/terms/relation,hasIdentifier,ltc:hasIdentifier
http://rs.tdwg.org/ltc/terms/hasMeasurementOrFact,broadMatch,http://purl.org/dc/terms/relation,hasMeasurementOrFact,ltc:hasMeasurementOrFact
http://rs.tdwg.org/ltc/terms/hasReference,broadMatch,http://purl.org/dc/terms/relation,hasReference,ltc:hasReference
http://rs.tdwg.org/ltc/terms/PersonRole,broadMatch,http://www.w3.org/ns/prov#qualifiedAttribution,PersonRole,ltc:PersonRole
http://rs.tdwg.org/ltc/terms/hasAddress,broadMatch,http://purl.org/dc/terms/relation,hasAddress,ltc:hasAddress
http://rs.tdwg.org/ltc/terms/hasContactDetail,broadMatch,http://purl.org/dc/terms/relation,hasContactDetail,ltc:hasContactDetail
http://rs.tdwg.org/ltc/terms/hasIdentifier,broadMatch,http://purl.org/dc/terms/relation,hasIdentifier,ltc:hasIdentifier
http://rs.tdwg.org/ltc/terms/hasMeasurementOrFact,broadMatch,http://purl.org/dc/terms/relation,hasMeasurementOrFact,ltc:hasMeasurementOrFact
http://rs.tdwg.org/ltc/terms/hasPerson,broadMatch,http://purl.org/dc/terms/relation,hasPerson,ltc:hasPerson
http://rs.tdwg.org/ltc/terms/hasReference,broadMatch,http://purl.org/dc/terms/relation,hasReference,ltc:hasReference
http://rs.tdwg.org/ltc/terms/hasRole,broadMatch,http://purl.org/dc/terms/relation,hasRole,ltc:hasRole
http://rs.tdwg.org/ltc/terms/hasTemporalCoverage,broadMatch,http://purl.org/dc/terms/relation,hasTemporalCoverage,ltc:hasTemporalCoverage
http://rs.tdwg.org/ltc/terms/hasIdentifier,broadMatch,http://purl.org/dc/terms/relation,hasIdentifier,ltc:hasIdentifier
http://rs.tdwg.org/ltc/terms/hasObjectGroup,broadMatch,http://purl.org/dc/terms/relation,hasObjectGroup,ltc:hasObjectGroup
http://rs.tdwg.org/ltc/terms/hasPersonRole,broadMatch,http://purl.org/dc/terms/relation,hasPersonRole,ltc:hasPersonRole
